,poem
Сегодня сына одного
Ты преждевременно хоронишь.
Гасуб, покорен будь судьбе.
Другого я привел тебе.
Вот он. Ты голову преклонишь
К его могучему плечу.
Твою потерю им заменишь —
Труды мои ты сам оценишь,
Хвалиться ими не хочу».
Умолкнул. Смотрит торопливо
Гасуб на отрока. Тазит,
Главу потупя молчаливо,
Ему недвижим предстоит.
И в горе им Гасуб любуясь,
Влеченью сердца повинуясь,
Объемлет ласково его.
Потом наставника ласкает,
Благодарит и приглашает
Под кровлю дома своего.
Три дня, три ночи с кунаками
Его он хочет угощать
И после честно провожать
С благословеньем и дарами.
Ему ж, отец печальный мнит,
Обязан благом я бесценным;
Слугой и другом неизменным,
Могучим мстителем обид.
*
Проходят дни. Печаль заснула
В душе Гасуба. Но Тазит
Всё дикость прежнюю хранит.
Среди родимого аула
Он как чужой; он целый день
В горах один; молчит и бродит.
Так в сакле кормленый олень
Всё в лес глядит; всё в глушь уходит.
Он любит — по крутым скалам
Скользить, ползти тропой кремнистой,
Внимая буре голосистой
И в бездне воющим волнам.
Он иногда до поздней ночи
Сидит, печален, над горой,
Недвижно в даль уставя очи,
Опершись на руку главой.
Какие мысли в нем проходят?
Чего желает он тогда?
Из мира дольнего куда
Младые сны его уводят?…
Как знать? Незрима глубь сердец.
В мечтаньях отрок своеволен,
Как ветер в небе…
Но отец
Уже Тазитом недоволен.
«Где ж, — мыслит он, — в нем плод наук,
Отважность, хитрость и проворство,
Лукавый ум и сила рук?
В нем только лень и непокорство.
Иль сына взор мой не проник,
Иль обманул меня старик».
*
Тазит из табуна выводит
Коня, любимца своего.
Два дни в ауле нет его,
На третий он домой приходит
Отец.
Где был ты, сын?
Сын.
В ущельи скал,
Где прорван каменистый берег,
И путь открыт на Дариял.
Отец.
Что делал там?
Сын.
Я слушал Терек.
Отец.
А не видал ли ты грузин
Иль русских?
Сын.
Видел я, с товаром
Тифлисской ехал армянин.
Отец.
Он был со стражей?
Сын.
Нет, один.
Отец.
Зачем нечаянным ударом
Не вздумал ты сразить его
И не прыгнул к нему с утеса? —
Потупил очи сын черкеса,
Не отвечая ничего.
*
Тазит опять коня седлает,
Два дня, две ночи пропадает,
Потом является домой.
Отец.
Где был?
Сын.
За белою горой.
Отец.
Кого ты встретил?
Сын.
На кургане
От нас бежавшего раба.
Отец.
[О милосердая судьба!]
Где ж он? Ужели [на] аркане
Ты беглеца не притащил? —
— Тазит опять главу склонил.
Гасуб нахмурился в молчанье,
Но скрыл свое негодованье.
«Нет, мыслит он, не заменит
Он никогда другого брата.
Не научился мой Тазит,
Как шашкой добывают злато.
Ни стад моих, ни табунов
Не наделят его разъезды.
Он только знает без трудов
Внимать волнам, глядеть на звезды,
А не в набегах отбивать
Коней с ногайскими быками
И с боя взятыми рабами
Суда в Анапе нагружать».
*
Тазит опять коня седлает.
Два дня, две ночи пропадает.
На третий, бледен, как мертвец,
Приходит он домой. Отец,
Его увидя, вопрошает:
«Где был ты?»
Сын.
Около станиц
Кубани, близ лесных границ
— — — — — — — — — — —
Отец.
Кого ты видел?
Сын.
Супостата.
Отец.
Кого? кого?
Сын.
Убийцу брата.
Отец.
Убийцу сына моего!…
Приди!… где голова его?
Тазит!… Мне череп этот нужен.
Дай нагляжусь!
Сын.
Убийца был
Один, изранен, безоружен…
Отец.
Ты долга [крови] не забыл!…
Врага ты навзничь опрокинул,
Не правда ли? ты шашку вынул,
Ты в горло сталь ему воткнул
И трижды тихо повернул,
Упился ты его стенаньем,
Его змеиным издыханьем…
[Где ж голова?… подай…] нет сил…
— Но сын молчит, потупя очи.
И стал Гасуб чернее ночи
И сыну грозно возопил:
«Поди ты прочь — ты мне не сын,
Ты не чеченец — ты старуха,
Ты трус, ты раб, ты армянин!
Будь проклят мной! поди — чтоб слуха
[Никто о робком не имел],
Чтоб вечно ждал ты грозной встречи,
Чтоб мертвый брат тебе на плечи
Окровавленной кошкой сел
И к бездне гнал тебя нещадно,
Чтоб ты, как раненый олень,
Бежал, тоскуя безотрадно,
Чтоб дети русских деревень
Тебя веревкою поймали
И как волченка затерзали,
Чтоб ты… Беги… беги скорей,
Не оскверняй моих очей!»
— Сказал и на земь лег — и очи
Закрыл. И так лежал до ночи.
Когда же приподнялся он,
[Уже на] синий небосклон
[Луна, блистая, восходила
И скал вершины серебрила].
Тазита трижды он позвал.
Никто ему не отвечал…
*
Ущелий горных поселенцы
В долине шумно собрались —
Привычны игры начались.
Верьхами юные чеченцы
В пыли несясь во весь опор,
Стрелою шапку пробивают,
Иль трижды сложенный ковер
Булатом сразу рассекают.
То скользкой тешатся борьбой,
То пляской быстрой. Жены, девы
Меж тем поют — и гул лесной
Далече вторит их напевы.
[Но между юношей один
Забав наездничьих не делит,
Верьхом не мчится вдоль стремнин,
Из лука звонкого не целит.]
[И] между девами одна
Молчит уныла и бледна.
Они в толпе четою странной
Стоят, не видя ничего.
И горе им: он сын изгнанный,
Она любовница его…
О, было время!… с ней украдкой
Видался юноша в горах.
Он пил огонь отравы сладкой
В ее смятеньи, в речи краткой,
В ее потупленных очах,
Когда с домашнего порогу,
Она смотрела на дорогу,
С подружкой резвой говоря —
И вдруг садилась и бледнела
И, отвечая, не глядела
И разгоралась, как заря —
Или у вод когда стояла,
Текущих с каменных вершин,
И долго кованый кувшин
Волною звонкой наполняла.
— И он, не властный превозмочь
Волнений сердца, раз приходит
К ее отцу, его отводит
И говорит: «Твоя мне дочь
Давно мила. По ней тоскуя,
[Один] и сир, давно живу я.
Благослови любовь мою.
Я беден — но могуч и молод.
Мне труд легок. Я удалю
От нашей сакле тощий голод.
Тебе я буду сын и друг
Послушный, преданный и нежный,
Твоим сынам кунак надежный,
А ей — приверженный супруг».
1829-1830


var "
11,"

Мартын.
Послушай, Франц: в последний раз говорю тебе как отец:
я долго терпел твои проказы; а долее терпеть не намерен.
Уймись или худо будет.
Франц.
Помилуй, батюшка; за что ты на меня сердишься? Я, кажется,
ничего не делаю.
Мартын.
Ничего не делаю! то-то и худо, что ничего не делаешь. Ты
ленивец, даром хлеб ешь, да небо коптишь. На что ты надеешься?
на мое богатство? Да разве я разбогател, сложа руки, да сочиняя
глупые песни? Как минуло мне четырнадцать лет, покойный
отец дал мне два крейцера в руку, да два пинка в гузно, да
примолвил: ступай-ка, Мартын, сам кормиться, а мне и без тебя
тяжело. С той поры мы уж и не видались; славу богу, нажил я
себе и дом, и деньги, и честное имя — а чем? бережливостию,
терпением, трудолюбием. Вот уж мне и за пятьдесят, и пора бы
уж отдохнуть да тебе передать и счетные книги и весь дом.
А могу ли о том и подумать? Какую могу иметь к тебе доверенность?
Тебе бы только гулять с господами, которые нас презирают
да забирают в долг товары. Я знаю тебя, ты стыдишься
своего состояния. Но слушай, Франц. Коли ты не переменишься,
не отстанешь [от] дворян, да не примешься порядком за
свое дело — то, видит бог, выгоню тебя из дому, а своим наследником
назначу Карла Герца, моего подмастерья.
Франц.
Твоя воля, батюшка; делай, как хочешь.
Мартын.
То-то ж; смотри…
(Входит брат Бертольд.)
Мартын.
Вон и другой сумасброд. Зачем пожаловал?
Бертольд.
Здравствуй, сосед. Мне до тебя нужда.
Мартын.
Нужда! Опять денег?
Бертольд.
Да… не можешь ли одолжить полтораста гульденов?
Мартын.
Как не так — где мне их взять? Я ведь не клад.
Бертольд.
Пожалуй — не скупись. Ты знаешь, что эти деньги для тебя
не пропадшие.
Мартын.
Как не пропадшие? Мало ли я тебе передавал денег? куда
они делись?
Бертольд.
В дело пошли; но теперь прошу тебя уж в последний раз.
Мартын.
Об этих последних разах я слышу уж не в первый раз.
Бертольд.
Нет, право. Последний мой опыт не удался от безделицы —
теперь уж я всё расчислил; опыт мой не может не удаться.
Мартын.
Эх, отец Бертольд! Коли бы ты не побросал в алхимический
огонь всех денег, которые прошли через твои руки, то был бы
богат. Ты сулишь мне сокровища, а сам приходишь ко мне за
милостыней. Какой тут смысл?
Бертольд.
Золота мне не нужно, я ищу одной истины.
Мартын.
А мне чорт ли в истине, мне нужно золото.
Бертольд.
Так ты не хочешь поверить мне еще?
Мартын.
Не могу и не хочу.
Бертольд.
Так прощай же, сосед.
Мартын.
Прощай.
Бертольд.
Пойду к барону Раулю, авось даст он мне денег.
Мартын.
Барон Рауль? да где взять ему денег? Вассалы его разорены. —
А, славу богу, нынче по большим дорогам не так-то
легко наживаться.
Бертольд.
Я думаю, у него деньги есть, потому что у герцога затевается
турнир, и барон туда отправляется. Прощай.
Мартын.
И ты думаешь, даст он тебе денег?
Бертольд.
Может быть и даст.
Мартын.
И ты употребишь их на последний опыт?
Бертольд.
Непременно.
Мартын.
А если опыт не удастся?
Бертольд.
Нечего будет делать. Если и этот опыт не удастся, то алхимия вздор.
Мартын.
А если удастся?
Бертольд.
Тогда… я возвращу тебе с лихвой и благодарностию все
суммы, которые занял у тебя, а барону Раулю открою великую
тайну.
Мартын.
Зачем барону, а не мне?
Бертольд.
И рад бы, да не могу: ты знаешь, что я обещался пресвятой
богородице разделить мою тайну с тем, кто поможет мне при
последнем и решительном моем опыте.
Мартын.
Эх, отец Бертольд, охота тебе разоряться! Куда ж ты? —
постой! Ну, так и быть. На этот раз дам тебе денег взаймы.
Бог с тобою! Но смотри ж, сдержи свое слово. Пусть этот
опыт будет последним и решительным.
Бертольд.
Не бойся. Другого уж не понадобится…
Мартын.
Погоди же здесь; сейчас тебе вынесу — сколько, бишь, тебе надобно?
Бертольд.
Полтораста гульденов.
Мартын.
Полтораста гульденов… Боже мой! и еще в какие крутые времена!
БЕРТОЛЬД И ФРАНЦ.
Бертольд.
Здравствуй, Франц, о чем ты задумался?
Франц.
Как мне не задумываться? Сейчас отец грозился меня выгнать
и лишить наследства.
Бертольд.
За что это?
Франц.
За то, что я знакомство веду с рыцарями.
Бертольд.
Он не совсем прав, да и не совсем виноват.
Франц.
Разве мещанин недостоин дышать одним воздухом с дворянином?
Разве не все мы произошли от Адама?
Бертольд.
Правда, правда. Но видишь, Франц, уже этому давно: Каин
и Авель были тоже братья, а Каин не мог дышать одним воздухом
с Авелем — и они не были равны перед богом. В первом
семействе уже мы видим неравенство и зависть.
Франц.
Виноват ли <я> в том, что <не> люблю своего состояния? что
честь для меня дороже денег?
Бертольд.
Всякое состояние имеет свою честь и свою выгоду. Дворянин
воюет и красуется. Мещанин трудится и богатеет.
Почтен дворянин за решеткою своей башни — купец в своей лавке…
(Входит Мартын.)
Мартын.
Вот тебе полтораста гульденов — смотри же, тешу тебя
в последний раз.
Бертольд.
Благодарен, очень благодарен. Увидишь, не будешь
раскаиваться.
Мартын.
Постой! Ну, а если опыт твой тебе удастся, и у тебя будет
и золота и славы вдоволь, будешь ли ты спокойно наслаждаться
жизнию?
Бертольд.
Займусь еще одним исследованием: мне кажется, есть средство
открыть perpetuum mobile…
Мартын.
Что такое perpetuum mobile?
Бертольд.
Perpetuum mobile, то есть вечное движение. Если найду
вечное движение, то я не вижу границ творчеству человеческому…
видишь ли, добрый мой Мартын: делать золото задача
заманчивая, открытие, может быть, любопытное — но найти
perpetuum mobile… o!…
Мартын.
Убирайся к чорту с твоим perpetuum mobile!…. Ей-богу,
отец Бертольд, ты хоть кого из терпения выведешь. Ты требуешь
денег на дело, а говоришь бог знает что. Невозможно.
Экой он сумасброд!
Бертольд.
Экой он брюзга!
(Расходятся в разные стороны.)
Франц.
Чорт побери наше состояние! — Отец у меня богат — а мне
какое дело? Дворянин, у которого нет ничего, кроме зазубренного
меча да заржавленного шлема, счастливее и почетнее отца
моего. Отец мой сымает перед ним шляпу — а тот и не смотрит
на него. — Деньги! потому что деньги достались ему не дешево,
так он и думает, что в деньгах вся и сила — как не так! Если
он так силен, попробуй отец ввести меня в баронский замок!
Деньги! деньги рыцарю не нужны — на то есть мещане —
как прижмет их, так и забрызжет кровь червонцами!… Чорт побери
наше состояние! — Да по мне лучше быть последним минстрелем —
этого, по крайней мере, в замке принимают… Госпожа
слушает его песни, наливает ему чашу и подносит из своих
рук…
Купец, сидя за своими книгами, считает, считает, клянется,
хитрит перед всяким покупщиком: „Ей-богу, сударь, самый
лучший товар, дешевле нигде не найдете“. — Врешь ты, жид. —
„Никак нет, честию вас уверяю“…. Честию!… Хороша честь!
А рыцарь — он волен как сокол… он никогда не горбился над
счетами, он идет прямо и гордо, он скажет слово, ему верят…
Да разве это жизнь? — Чорт ее побери! — Пойду лучше
в минстрели.
Однако, что это сказал монах? Турнир в* и туда едет
барон — ах, боже мой! там будет и Клотильда. Дамы обсядут
кругом, трепеща за своих рыцарей — трубы затрубят — выступят
герольды — рыцари объедут поле, преклоняя копья перед балконом
своих красавиц… трубы опять затрубят — рыцари разъедутся —
помчатся друг на друга… дамы ахнут… боже мой!
и никогда не подыму я пыли на турнире, никогда герольды
не возгласят моего имени, презренного мещанского имени,
никогда Клотильда не ахнет…
Деньги! кабы знал он, как рыцари презирают нас, несмотря
на наши деньги…
Альбер.
А! это Франц; на кого ты раскричался?
Франц.
Ах, сударь, вы меня слышали… я сам с собою рассуждал…
Альбер.
А о чем рассуждал ты сам с собою?
Франц.
Я думал, как бы мне попасть на турнир.
Альбер.
Ты хочешь попасть на турнир?
Франц.
Точно так.
Альбер.
Ничего нет легче: у меня умер мой конюший — хочешь ли
на его место?
Франц.
Как! бедный ваш Яков умер? отчего ж он умер?
Альбер.
Ей-богу, не знаю — в пятницу он был здоровешенек; вечером
воротился я поздно (я был в гостях у Ремона и порядочно подпил) —
Яков сказал мне что-то….. я рассердился и ударил
его — помнится, по щеке — а может быть и в висок — однако,
нет: точно по щеке; Яков повалился — да уж и не встал; я лег
не раздевшись — а на другой день узнаю, что мой бедный Яков —
умре?.
Франц.
Ай, рыцарь! видно, пощечины ваши тяжелы.
Альбер.
На мне была железная рукавица. — Ну что же, хочешь быть
моим конюшим?
Франц (почесывается).
Вашим конюшим?
Альбер.
Что ж ты почесываешься? соглашайся. — Я возьму тебя на
турнир — ты будешь жить у меня в замке. Быть оруженосцем
у такого рыцаря, как я, не шутка: ведь уж это ступень. Современем,
как знать, тебя посвятим и в рыцари — многие так
начинали.
Франц.
А что скажет мой отец?
Альбер.
А ему какое дело до тебя?
Франц.
Он меня наследства лишит…
Альбер.
А ты плюнь — тебе же будет легче.
Франц.
И я буду жить у вас в замке?…
Альбер.
Конечно. — Ну, согласен?
Франц.
Вы не будете давать мне пощечин?
Альбер.
Нет, нет, не бойся; а хоть и случится такой грех — что за
беда? — не все ж конюшие убиты до смерти.
Франц.
И то правда: коли случится такой грех — посмотрим, кто
кого…
Альбер.
Что? что ты говоришь, я тебя не понял?
Франц.
Так, я думал сам про себя.
Альбер.
Ну, что ж — соглашайся…
Франц.
Извольте — согласен.
Альбер.
Нечего было и думать. Достань-ка себе лошадь и приходи
ко мне.
БЕРТА И КЛОТИЛЬДА.
Клотильда.
Берта, скажи мне что-нибудь, мне скучно.
Берта.
О чем же я буду вам говорить? — не о нашем ли рыцаре?
Клотильда.
О каком рыцаре?
Берта.
О том, который остался победителем на турнире.
Клотильда.
О графе Ротенфельде. Нет, я не хочу говорить о нем; вот
уже две недели, как мы возвратились — а он и не думал приехать
к нам; это с его стороны неучтивость.
Берта.
Погодите — я уверена, что он будет завтра…
Клотильда.
Почему ты так думаешь?
Берта.
Потому, что я его во сне видела.
Клотильда.
И, боже мой! Это ничего не значит. Я всякую ночь вижу
его во сне.
Берта.
Это совсем другое дело — вы в него влюблены.
Клотильда.
Я влюблена! Прошу пустяков не говорить… Да и про
графа Ротенфельда толковать тебе нечего. Говори мне о
ком-нибудь другом.
Берта.
О ком же? О конюшем братца, о Франце?
Клотильда.
Пожалуй — говори мне о Франце.
Берта.
Вообразите, сударыня, что он от вас без ума.
Клотильда.
Франц от меня без ума? кто тебе это сказал?
Берта.
Никто, я сама заметила; когда вы садитесь верьхом, он
всегда держит вам стремя; когда служит за столом, он не <видит>
никого, кроме вас; если вы уроните платок, он всех проворнее
его подымет — а на нас и не смотрит…
Клотильда.
Или ты дура, или Франц предерзкая тварь…
(Входит Альбер, Ротенфельд и Франц.)
Альбер.
Сестра, представляю тебе твоего рыцаря, граф приехал
погостить в нашем замке.
Граф.
Позвольте, благородная девица, недостойному вашему рыцарю
еще раз поцеловать ту прекрасную руку, из которой
получил я драгоценнейшую награду…
Клотильда.
Граф, я рада, что имею честь принимать вас у себя… Братец,
я буду вас ожидать в северной башне… (Уходит.)
Граф.
Как она прекрасна!
Альбер.
Она предобрая девушка. Граф, что же вы не раздеваетесь?
Где ваши слуги? Франц! разуй графа. (Франц медлит.) Франц,
разве ты глух?
Франц.
Я не всемирный слуга, чтобы всякого разувать.
Граф.
Ого, какой удалец!
Альбер.
Грубиян! (Замахивается.) Я тебя прогоню!
Франц.
Я сам готов оставить замок.
Альбер.
Мужик, подлая тварь! Извините, граф, я с ним управлюсь…
Вон!… (Толкает его в спину.) Чтобы духа твоего здесь не
было.
Граф.
Пожалуйста, не трогайте этого дурака; он, право, не стоит…
Клотильда.
Братец, мне до тебя просьба.
Альбер.
Чего ты хочешь?
Клотильда.
Пожалуйста, прогони своего конюшего Франца; он осмелился
мне нагрубить….
Альбер.
Как! и тебе?… Жаль же, что я уж его прогнал; он от меня
так скоро б не отделался. Да что ж он сделал?
Клотильда.
Так, ничего. Если ты уж его прогнал, так нечего и говорить.
Скажи, братец, долго ли граф пробудет у нас?
Альбер.
Думаю, сестра, что это будет зависеть от тебя. Что ж ты
краснеешь?….
Клотильда.
Ты всё шутишь — а он и не думает…
Альбер.
Не думает? о чем же?
Клотильда.
Ах, братец, какой ты несносный! Я говорю, что граф обо
мне и не думает…
Альбер.
Посмотрим, посмотрим — что будет, то будет.
Франц.
Вот наш домик…. Зачем было мне оставлять его для гордого
замка? Здесь я был хозяин, а там — слуга… и для
чего?… для гордых взоров наглой благородной девицы.
Я переносил унижения, я унизился в глазах моих — я сделался
слугою того, кто был моим товарищем, я привык сносить детские
обиды глупого, избалованного повесы… я не примечал
ничего….. Я, который не хотел зависеть от отца — я стал
зависим от чужого… И чем это всё кончилось? — боже…
кровь кидается в лицо — кулаки мои сжимаются….О, я им
